id,name,brand_name,origin,primary_category_name,category_l1_name,current_price,original_price,discount_rate,discount,all_time_quantity_sold,review_count,rating_average,link
279148199,Sách - Lá Hoa Trên Đường Về - Sa Môn Thích Pháp Hoà - Tặng Kèm Bookmark Lá Bồ Đề Random 1 Trong 3 Mẫu + Bookmark + Postcard,,,Tôn Giáo - Tâm Linh Khác,Nhà Sách Tiki,131000,168000,22,37000,173,4,5.0,https://tiki.vn/sach-sach-la-hoa-tren-duong-ve-sa-mon-thich-phap-hoa-tang-kem-ngau-nhien-1-la-bo-de-p279148199.html?spid=279148200
279112904,Thám Tử Lừng Danh Conan - Tập 107,,,"Truyện Tranh, Manga, Comic",Nhà Sách Tiki,25000,25000,0,0,135,6,5.0,https://tiki.vn/tham-tu-lung-danh-conan-tap-107-p279112904.html?spid=279112916
278997061,Sách Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-5 Tuổi - [Từ Tập 11 - Tập 20] - Chọn Tập Lẻ,,,Tô màu - Luyện chữ  ,Nhà Sách Tiki,10971,16000,31,5029,177,0,0.0,https://tiki.vn/sach-to-mau-phat-trien-tri-nao-bo-cho-be-1-5-tuoi-tu-tap-11-tap-20-chon-tap-le-p278997061.html?spid=278997091
278967562,Monster - Deluxe Edition –  [Chọn Tập Lẻ,,,"Truyện Tranh, Manga, Comic",Nhà Sách Tiki,118750,125000,5,6250,232,30,5.0,https://tiki.vn/monster-deluxe-edition-chon-tap-le-p278967562.html?spid=278967565
278859517,Sách Thương Tiến Tửu,,,Truyện Chữ Đam Mỹ,Nhà Sách Tiki,111600,169000,34,57400,98,20,5.0,https://tiki.vn/sach-thuong-tien-tuu-tap-7-p278859517.html?spid=278859612
278856619,Sách Cô Bé Hàng Xóm Và Bốn Viên Kẹo (Nguyễn Nhật Ánh) - 2 phiên bản & quà tặng kèm,,,Tiểu Thuyết Phương Đông,Nhà Sách Tiki,88000,115000,23,27000,734,47,5.0,https://tiki.vn/sach-co-be-hang-xom-va-bon-vien-keo-p278856619.html?spid=278856627
278790552,Bộ Truyện One Piece [Chọn Tập Lẻ,,,"Truyện Tranh, Manga, Comic",Nhà Sách Tiki,28500,30000,5,1500,214,165,5.0,https://tiki.vn/bo-truyen-one-piece-chon-tap-le-p278790552.html?spid=278790581
278785576,Sách Dragon Ball - 7 Viên Ngọc Rồng [Chọn Tập Lẻ,,,"Truyện Tranh, Manga, Comic",Nhà Sách Tiki,28500,30000,5,1500,392,4,4.8,https://tiki.vn/sach-dragon-ball-7-vien-ngoc-rong-chon-tap-le-p278785576.html?spid=278785641
278777851,Sách Ma Đạo Tổ Sư - Tái Bản 2025,,,Truyện Chữ Đam Mỹ,Nhà Sách Tiki,114600,179000,36,64400,48,3,4.3,https://tiki.vn/sach-ma-dao-to-su-tai-ban-2025-p278777851.html?spid=278777814
278638861,Sách IELTS Writing: Viết Luận “Chất Như Nước Cất”,,,Luyện thi IELTS,Nhà Sách Tiki,162000,219000,26,57000,109,6,4.7,https://tiki.vn/sach-ielts-writing-viet-luan-chat-nhu-nuoc-cat-p278638861.html?spid=278638863
